Va,Vb,Vc,Ia,Ib,Ic,fault_type,cascade_severity,sections_affected,blackout_risk
135.0,9485.1,-9547.3,495.3,464.3,507.0,NO,0,0,0
-5.6,9398.0,-9503.8,530.7,453.5,525.9,NO,0,0,0
-0.7,475.4,-477.3,4222.0,3864.5,4065.3,LLL,4,4,1
-69.8,9495.4,-9499.2,513.3,504.7,470.5,NO,0,0,0
3.4,480.5,-479.2,3883.4,3870.4,4000.6,LLL,4,4,1
0.3,476.4,-475.6,4127.9,4100.3,3948.2,LLL,4,4,1
4.0,957.6,-9459.1,2917.5,2534.1,463.2,LLG,3,3,0
7.5,9599.3,-9518.6,487.2,558.3,474.1,NO,0,0,0
0.3,96.0,-94.8,4779.4,4724.8,5157.2,LLLG,5,5,1
59.6,9606.2,-9594.1,530.7,508.5,496.4,NO,0,0,0
12.5,9464.4,-9492.3,471.2,541.2,514.8,NO,0,0,0
-1.1,475.9,-476.4,3620.2,3957.7,4073.0,LLL,4,4,1
-0.2,95.5,-95.4,5065.7,5114.2,5359.8,LLLG,5,5,1
3.5,474.4,-474.7,4057.9,4113.9,4208.7,LLL,4,4,1
-4.7,948.4,-9507.2,2997.3,2563.9,462.5,LLG,3,3,0
0.4,9524.7,-9432.6,503.8,497.6,550.9,NO,0,0,0
52.3,9508.0,-9449.7,463.0,499.8,520.9,NO,0,0,0
29.9,9611.6,-9517.4,496.0,495.2,524.0,NO,0,0,0
1.0,944.6,-9551.0,2981.6,2409.6,505.0,LLG,3,3,0
14.2,9500.4,-9530.8,515.7,511.6,479.0,NO,0,0,0
5.8,2862.9,-9452.0,2012.1,2058.9,497.9,LL,2,2,0
1.0,9631.5,-9492.8,2491.6,487.5,529.8,LG,1,1,0
6.9,955.0,-9511.4,3061.5,2491.2,499.5,LLG,3,3,0
-35.4,9562.7,-9581.1,529.4,536.8,531.5,NO,0,0,0
-1.0,477.7,-478.0,3671.1,3633.2,4008.0,LLL,4,4,1
7.7,9471.0,-9615.4,499.6,508.3,517.5,NO,0,0,0
9.1,2866.0,-9496.3,2102.7,1969.0,517.5,LL,2,2,0
-3.0,953.0,-9519.0,2896.8,2259.4,524.9,LLG,3,3,0
0.8,9492.0,-9563.5,2686.2,468.0,494.4,LG,1,1,0
-0.3,481.9,-475.4,3915.1,3894.7,3834.6,LLL,4,4,1
-8.2,9526.4,-9482.6,2614.3,488.5,515.0,LG,1,1,0
-1.1,477.4,-475.0,4079.4,4049.9,3775.1,LLL,4,4,1
-1.6,951.9,-9464.9,3132.7,2558.3,486.5,LLG,3,3,0
-0.8,95.2,-95.9,4817.9,4984.5,4975.9,LLLG,5,5,1
-0.4,473.5,-472.1,4068.2,3924.4,4270.3,LLL,4,4,1
50.8,9484.6,-9602.6,508.1,507.7,510.9,NO,0,0,0
0.5,9536.4,-9561.7,2408.3,529.0,480.6,LG,1,1,0
-0.1,949.7,-9495.2,2999.0,2454.2,473.2,LLG,3,3,0
-3.7,2851.7,-9513.6,2015.7,1844.7,484.3,LL,2,2,0
-0.6,952.5,-9562.8,3040.1,2382.8,541.9,LLG,3,3,0
0.1,482.3,-481.2,3871.3,4244.3,3664.9,LLL,4,4,1
28.3,9527.7,-9493.3,530.5,537.6,552.0,NO,0,0,0
-14.5,9538.4,-9559.5,531.1,481.0,470.7,NO,0,0,0
6.2,947.1,-9483.4,3106.5,2507.5,519.8,LLG,3,3,0
5.1,9601.1,-9510.5,2390.7,514.3,478.5,LG,1,1,0
-54.4,9545.2,-9501.3,519.4,513.6,488.1,NO,0,0,0
0.4,477.5,-473.5,4446.8,4072.9,3881.8,LLL,4,4,1
2.8,9543.5,-9561.8,2428.6,526.6,479.7,LG,1,1,0
-4.9,473.5,-477.6,4184.1,3928.0,3657.9,LLL,4,4,1
5.6,2852.1,-9529.2,1892.3,2023.5,524.3,LL,2,2,0
-0.7,475.2,-479.4,3721.3,3918.9,3904.4,LLL,4,4,1
62.4,9641.3,-9478.4,478.0,491.4,485.0,NO,0,0,0
23.0,9501.8,-9491.1,499.1,498.0,496.7,NO,0,0,0
-0.4,9531.7,-9538.7,510.1,440.6,496.4,NO,0,0,0
-2.4,9535.3,-9541.6,2617.1,474.5,490.0,LG,1,1,0
-26.3,9436.2,-9523.1,495.3,446.7,495.2,NO,0,0,0
-0.3,94.5,-95.2,5326.7,4814.1,4922.5,LLLG,5,5,1
-6.7,2842.2,-9500.3,1872.2,2117.5,479.2,LL,2,2,0
-11.1,2851.4,-9484.8,1944.1,1866.8,520.6,LL,2,2,0
1.4,478.3,-470.5,3907.5,4154.6,3828.9,LLL,4,4,1
-1.3,478.4,-476.8,3918.8,4059.9,4031.3,LLL,4,4,1
-0.9,475.3,-470.6,3890.3,3830.8,4036.6,LLL,4,4,1
-43.8,9513.1,-9532.5,484.7,486.0,504.3,NO,0,0,0
-28.3,9599.2,-9458.7,475.3,500.8,504.8,NO,0,0,0
-0.4,96.2,-94.7,4940.5,5000.2,5153.2,LLLG,5,5,1
-0.1,475.8,-478.8,3941.6,4023.5,3759.9,LLL,4,4,1
-2.3,473.9,-477.9,4184.2,3828.2,4148.6,LLL,4,4,1
-7.8,950.1,-9490.6,3079.0,2572.1,525.3,LLG,3,3,0
1.2,476.7,-479.0,4241.0,3792.4,4068.9,LLL,4,4,1
5.3,9544.6,-9573.0,490.6,528.9,475.5,NO,0,0,0
4.0,474.4,-474.9,3983.6,3833.1,3922.1,LLL,4,4,1
-21.0,9494.7,-9532.4,484.2,460.7,492.7,NO,0,0,0
-83.4,9478.0,-9494.3,505.4,490.0,520.4,NO,0,0,0
9.2,2829.6,-9461.0,2101.1,2078.2,483.0,LL,2,2,0
1.7,474.5,-472.3,4162.6,4148.3,3883.9,LLL,4,4,1
-0.2,94.9,-95.2,5102.9,4921.5,5116.1,LLLG,5,5,1
52.9,9500.4,-9450.0,520.6,456.7,523.2,NO,0,0,0
-3.1,2868.4,-9611.1,1949.4,2093.5,506.2,LL,2,2,0
-33.8,9499.8,-9594.7,499.9,493.2,487.5,NO,0,0,0
-3.3,9502.8,-9551.3,515.2,492.1,526.6,NO,0,0,0
-0.2,479.9,-474.5,4175.1,3711.5,4018.4,LLL,4,4,1
-5.8,944.0,-9467.2,3084.3,2479.1,515.5,LLG,3,3,0
0.2,94.9,-95.0,5153.8,4988.5,4994.7,LLLG,5,5,1
-5.1,2872.8,-9541.0,1921.8,2082.5,496.6,LL,2,2,0
31.2,9527.4,-9591.8,489.8,491.4,475.6,NO,0,0,0
20.9,2866.0,-9532.7,2131.8,1854.6,483.9,LL,2,2,0
0.8,475.2,-477.6,4204.5,4100.5,4126.0,LLL,4,4,1
-3.4,9535.5,-9564.3,2549.5,501.2,495.3,LG,1,1,0
-0.8,95.6,-95.6,5119.0,4820.3,4824.0,LLLG,5,5,1
7.9,960.5,-9399.7,3057.8,2486.1,488.4,LLG,3,3,0
-2.7,475.0,-481.7,3805.4,3940.2,4191.1,LLL,4,4,1
-4.3,2838.7,-9489.9,2092.5,1933.1,477.9,LL,2,2,0
-18.2,9440.0,-9563.1,544.5,520.8,483.4,NO,0,0,0
1.2,950.0,-9514.9,2874.5,2458.0,473.9,LLG,3,3,0
-84.7,9471.9,-9561.9,462.6,506.9,516.4,NO,0,0,0
19.0,2845.6,-9500.9,1911.2,1853.3,485.1,LL,2,2,0
-87.4,9501.7,-9576.6,498.0,487.8,492.7,NO,0,0,0
-3.0,475.0,-476.8,3963.3,3833.7,3721.2,LLL,4,4,1
61.4,9506.6,-9651.3,493.2,523.4,487.8,NO,0,0,0
2.4,475.3,-476.1,3817.5,4057.6,4017.0,LLL,4,4,1
-6.9,951.7,-9549.0,2917.5,2529.8,466.0,LLG,3,3,0
-0.8,479.4,-478.5,4055.7,4294.8,3969.9,LLL,4,4,1
0.1,945.9,-9503.4,3123.7,2484.3,467.2,LLG,3,3,0
-1.8,476.5,-477.1,3942.2,4270.4,3857.9,LLL,4,4,1
27.4,9520.4,-9470.5,542.5,521.3,523.7,NO,0,0,0
0.3,95.2,-95.4,5307.5,5307.9,4399.3,LLLG,5,5,1
1.1,471.3,-477.5,3833.1,3734.2,3817.4,LLL,4,4,1
-5.7,956.0,-9499.8,2992.3,2494.4,465.9,LLG,3,3,0
-25.4,9466.5,-9534.8,518.7,510.4,509.5,NO,0,0,0
5.6,9494.2,-9649.4,496.3,497.0,490.6,NO,0,0,0
5.2,952.3,-9530.8,3043.1,2661.8,479.6,LLG,3,3,0
-2.7,9474.9,-9553.9,474.7,517.4,497.3,NO,0,0,0
2.9,477.1,-473.2,3823.7,3924.1,4136.1,LLL,4,4,1
1.2,95.1,-95.9,5122.8,5327.3,5039.9,LLLG,5,5,1
-13.9,2831.8,-9595.5,1978.3,2124.5,523.9,LL,2,2,0
4.4,475.4,-482.4,3962.2,4188.4,4205.2,LLL,4,4,1
0.3,955.2,-9594.0,2741.3,2534.3,484.6,LLG,3,3,0
2.3,949.2,-9420.0,3026.0,2604.3,479.9,LLG,3,3,0
-0.3,95.9,-94.2,4564.1,4880.2,5203.3,LLLG,5,5,1
-0.7,94.7,-95.8,5115.2,5136.1,5112.4,LLLG,5,5,1
-3.1,475.8,-478.3,3949.8,3583.1,4259.8,LLL,4,4,1
-3.1,474.1,-476.1,3963.0,3989.3,4100.8,LLL,4,4,1
4.3,2823.6,-9534.0,1936.2,1976.0,451.4,LL,2,2,0
-0.4,478.3,-472.3,4104.0,3996.7,3866.7,LLL,4,4,1
15.1,9486.8,-9582.8,518.6,505.1,496.5,NO,0,0,0
-36.3,9526.5,-9522.8,541.7,459.5,481.9,NO,0,0,0
-12.6,2850.6,-9518.6,1938.5,1868.6,513.9,LL,2,2,0
3.5,477.8,-477.6,4234.9,3813.7,3529.7,LLL,4,4,1
-3.6,2849.4,-9591.9,2005.9,1948.7,498.9,LL,2,2,0
0.4,958.1,-9520.2,2969.5,2492.2,494.2,LLG,3,3,0
6.5,478.7,-481.7,3928.1,4100.1,4082.6,LLL,4,4,1
2.2,946.6,-9563.7,3010.8,2493.6,516.8,LLG,3,3,0
-167.9,9476.6,-9426.8,506.3,496.4,516.3,NO,0,0,0
-0.4,474.6,-478.3,4073.2,4061.0,4139.4,LLL,4,4,1
1.1,473.1,-478.1,3769.8,3996.6,4286.6,LLL,4,4,1
37.5,9370.3,-9502.3,515.5,486.6,502.4,NO,0,0,0
-9.4,2879.0,-9499.6,1945.9,2057.5,467.8,LL,2,2,0
55.8,9542.8,-9572.5,478.3,490.6,509.1,NO,0,0,0
2.2,956.7,-9609.1,2801.1,2669.8,486.9,LLG,3,3,0
2.4,2884.9,-9515.5,2034.0,1964.4,488.5,LL,2,2,0
5.9,949.4,-9510.2,3071.9,2438.7,439.8,LLG,3,3,0
-0.2,94.5,-94.8,4970.9,4926.8,5084.9,LLLG,5,5,1
-2.8,2852.3,-9586.3,1980.9,2006.4,532.7,LL,2,2,0
-0.3,9518.6,-9452.8,2551.5,465.5,510.4,LG,1,1,0
0.5,95.3,-95.1,5071.3,4870.0,4837.5,LLLG,5,5,1
-55.3,9539.5,-9509.8,476.7,464.6,525.4,NO,0,0,0
-5.4,9517.7,-9421.5,2656.2,515.5,499.0,LG,1,1,0
-0.4,9464.5,-9403.3,2416.1,520.8,514.4,LG,1,1,0
-56.5,9539.4,-9523.0,489.6,512.6,484.1,NO,0,0,0
-0.7,476.9,-477.5,3976.9,4212.6,3971.9,LLL,4,4,1
0.1,95.3,-95.7,5074.8,4948.9,4988.4,LLLG,5,5,1
-3.3,9480.6,-9491.9,2488.8,491.8,528.0,LG,1,1,0
-2.4,949.6,-9524.2,3117.1,2457.1,479.2,LLG,3,3,0
25.2,2872.5,-9493.6,2023.2,2085.6,521.5,LL,2,2,0
-72.5,9575.5,-9545.6,509.3,499.5,512.9,NO,0,0,0
7.4,950.4,-9519.2,2886.2,2433.6,509.1,LLG,3,3,0
1.7,472.5,-475.7,3896.6,3686.1,3778.0,LLL,4,4,1
161.8,9587.2,-9546.3,567.2,516.0,509.5,NO,0,0,0
-29.1,9490.7,-9560.8,505.5,540.1,495.9,NO,0,0,0
80.9,9559.3,-9602.0,511.1,496.6,490.5,NO,0,0,0
0.9,95.2,-95.0,5075.4,5037.2,4938.5,LLLG,5,5,1
-2.1,2868.5,-9537.6,1980.9,1934.5,521.6,LL,2,2,0
-43.3,9539.0,-9593.1,497.3,508.4,475.1,NO,0,0,0
41.6,9587.9,-9503.4,435.5,486.1,489.1,NO,0,0,0
-0.5,477.5,-480.1,4053.7,4029.1,4101.3,LLL,4,4,1
-20.3,9455.7,-9508.4,495.0,499.0,483.9,NO,0,0,0
-0.2,95.4,-95.8,5176.3,5006.2,5036.4,LLLG,5,5,1
-0.9,94.7,-95.5,4731.0,5304.7,4906.1,LLLG,5,5,1
-6.1,2871.6,-9486.6,1967.7,2020.5,485.3,LL,2,2,0
4.2,2845.3,-9520.6,1934.6,2079.2,490.0,LL,2,2,0
12.1,2869.6,-9464.1,1971.8,1878.1,454.2,LL,2,2,0
-8.2,2866.2,-9518.8,1932.8,2188.5,514.9,LL,2,2,0
0.3,477.2,-474.2,4063.3,3782.9,4322.0,LLL,4,4,1
4.2,9456.2,-9495.3,2403.0,496.6,476.2,LG,1,1,0
-71.3,9475.8,-9503.9,538.6,533.9,504.0,NO,0,0,0
-58.6,9564.8,-9479.2,509.4,522.7,516.4,NO,0,0,0
16.9,2885.5,-9517.1,2004.7,2001.1,471.8,LL,2,2,0
27.2,9506.4,-9583.8,501.7,496.3,479.0,NO,0,0,0
7.4,9412.9,-9637.8,476.7,479.1,458.8,NO,0,0,0
-0.5,96.3,-95.7,5091.5,4975.1,5382.5,LLLG,5,5,1
-40.6,9449.4,-9509.5,481.0,510.7,519.2,NO,0,0,0
0.8,2849.3,-9549.0,1904.8,1967.2,499.9,LL,2,2,0
-19.3,9491.2,-9520.0,510.1,525.7,504.7,NO,0,0,0
2.9,474.3,-476.6,3981.4,4155.4,4009.6,LLL,4,4,1
30.7,9508.0,-9510.4,503.6,521.5,509.6,NO,0,0,0
-0.1,475.5,-474.8,4099.0,4188.4,3896.0,LLL,4,4,1
51.6,9546.9,-9537.2,510.9,450.7,485.9,NO,0,0,0
3.2,2849.1,-9436.3,1938.7,1990.9,491.4,LL,2,2,0
6.3,9536.9,-9454.1,2533.0,519.5,521.8,LG,1,1,0
0.1,95.0,-95.2,5009.7,4705.2,5297.4,LLLG,5,5,1
1.0,481.3,-476.4,4078.4,3840.3,3960.6,LLL,4,4,1
-114.3,9557.3,-9516.4,471.5,488.2,500.2,NO,0,0,0
-25.4,2874.2,-9489.6,1950.5,1985.0,535.5,LL,2,2,0
10.7,2842.1,-9459.0,2064.4,2084.1,477.4,LL,2,2,0
-3.8,9565.1,-9476.7,466.0,466.5,543.7,NO,0,0,0
67.8,9520.2,-9493.0,509.1,520.6,506.9,NO,0,0,0
-0.3,475.9,-473.5,3715.3,4145.2,3945.0,LLL,4,4,1
-0.2,474.7,-477.8,3953.7,4109.2,3735.5,LLL,4,4,1
6.2,953.9,-9517.5,2973.2,2534.2,484.2,LLG,3,3,0
73.7,9515.6,-9596.3,500.2,498.4,466.1,NO,0,0,0
-14.2,2856.9,-9535.4,2137.4,1847.8,492.4,LL,2,2,0
-1.6,9552.7,-9458.2,506.8,496.1,521.0,NO,0,0,0
-0.5,94.1,-94.7,4923.9,4996.0,5062.3,LLLG,5,5,1
-51.6,9457.4,-9519.0,504.6,492.2,488.9,NO,0,0,0
-5.6,9418.6,-9467.1,466.8,501.4,523.2,NO,0,0,0
-3.2,952.3,-9416.3,2896.5,2513.3,502.4,LLG,3,3,0
-0.4,475.1,-474.0,4127.2,4099.7,4228.0,LLL,4,4,1
-0.5,95.8,-95.6,5169.0,5067.5,4731.2,LLLG,5,5,1
5.9,2871.7,-9459.8,2045.8,2159.9,520.4,LL,2,2,0
-0.6,94.9,-95.3,4885.8,5058.8,4994.5,LLLG,5,5,1
-2.6,9492.0,-9526.6,2559.3,535.7,507.5,LG,1,1,0
-13.8,2877.1,-9476.2,1953.3,1984.0,492.7,LL,2,2,0
-1.6,2853.7,-9555.6,2004.4,1923.3,492.7,LL,2,2,0
-14.2,2858.0,-9571.9,1987.7,2043.0,491.6,LL,2,2,0
-0.4,948.7,-9477.2,2833.0,2431.5,496.9,LLG,3,3,0
-14.5,9560.8,-9435.1,512.0,506.1,492.6,NO,0,0,0
-1.3,2846.2,-9457.0,2000.9,1897.6,483.5,LL,2,2,0
14.7,9555.7,-9544.8,519.7,493.1,480.1,NO,0,0,0
44.7,9511.6,-9590.7,502.6,495.9,507.4,NO,0,0,0
1.3,475.9,-475.1,3872.9,4118.2,4094.8,LLL,4,4,1
-23.4,9559.9,-9482.9,498.6,509.9,457.5,NO,0,0,0
37.6,9595.4,-9606.2,514.3,525.9,488.1,NO,0,0,0
-0.9,9463.1,-9566.9,495.0,497.0,503.8,NO,0,0,0
2.2,9527.1,-9582.2,508.7,513.9,518.2,NO,0,0,0
-24.1,9481.7,-9561.2,506.9,492.4,514.8,NO,0,0,0
3.8,951.5,-9486.5,2969.0,2443.6,498.0,LLG,3,3,0
1.1,475.0,-478.3,3758.4,3986.3,3865.9,LLL,4,4,1
-0.8,95.0,-94.8,4811.9,4894.9,5345.4,LLLG,5,5,1
0.2,95.2,-96.0,4964.0,5018.7,4801.2,LLLG,5,5,1
1.6,479.0,-475.2,4007.9,3727.3,3974.6,LLL,4,4,1
-36.0,9542.2,-9544.4,496.9,559.3,506.1,NO,0,0,0
-9.9,9527.3,-9532.0,452.3,514.8,490.7,NO,0,0,0
9.3,957.2,-9545.7,2996.5,2349.2,495.1,LLG,3,3,0
-9.4,2855.2,-9434.5,2066.7,1995.6,468.2,LL,2,2,0
-0.8,479.1,-475.9,3899.3,3698.0,4272.1,LLL,4,4,1
26.4,9562.5,-9539.0,514.0,512.4,492.2,NO,0,0,0
68.8,9555.7,-9483.7,486.5,493.9,477.0,NO,0,0,0
7.8,951.1,-9490.0,3179.1,2415.8,479.5,LLG,3,3,0
2.4,2876.1,-9519.0,1993.3,1905.5,468.9,LL,2,2,0
55.8,9483.5,-9434.3,528.0,456.4,515.2,NO,0,0,0
9.5,2856.4,-9455.2,1918.6,2096.8,505.4,LL,2,2,0
0.4,479.0,-473.2,4350.9,4055.1,4016.6,LLL,4,4,1
-11.3,2843.8,-9523.2,2120.7,1989.0,499.3,LL,2,2,0
1.1,478.9,-478.3,3962.5,4011.8,3945.9,LLL,4,4,1
1.0,95.0,-94.9,5048.4,5172.1,5393.0,LLLG,5,5,1
-8.3,2862.5,-9621.3,1919.9,2031.2,523.7,LL,2,2,0
0.9,478.6,-477.5,4089.5,4110.6,4178.5,LLL,4,4,1
-6.8,9462.6,-9502.3,2620.8,507.5,498.8,LG,1,1,0
6.3,9550.8,-9547.0,2480.4,503.6,509.1,LG,1,1,0
35.5,9507.6,-9523.6,493.2,460.9,495.4,NO,0,0,0
47.1,9546.6,-9508.7,489.5,494.7,483.7,NO,0,0,0
-3.5,475.3,-473.0,4361.4,3684.6,4103.8,LLL,4,4,1
-0.3,94.8,-95.9,4862.4,5053.4,4958.1,LLLG,5,5,1
-5.1,947.9,-9499.4,3058.6,2419.7,517.7,LLG,3,3,0
-14.9,2862.1,-9479.7,2065.9,1977.8,487.2,LL,2,2,0
7.0,9523.2,-9459.7,2424.3,486.9,504.4,LG,1,1,0
10.8,2838.4,-9503.4,1843.9,2086.4,476.0,LL,2,2,0
-3.8,954.1,-9499.3,2806.3,2725.6,485.8,LLG,3,3,0
4.4,951.6,-9493.8,2979.7,2359.0,496.5,LLG,3,3,0
13.4,2851.0,-9480.1,1967.3,2089.7,506.7,LL,2,2,0
-3.6,9531.5,-9460.4,2379.7,496.9,484.9,LG,1,1,0
34.0,9498.4,-9429.7,504.8,507.2,504.5,NO,0,0,0
-0.2,477.8,-472.1,4399.7,3573.2,4045.8,LLL,4,4,1
-4.7,9463.5,-9551.6,2421.5,504.2,525.2,LG,1,1,0
0.3,95.7,-96.7,5132.2,4924.4,4990.0,LLLG,5,5,1
1.3,9580.1,-9507.4,2459.2,513.6,483.1,LG,1,1,0
0.2,95.7,-95.1,4886.9,4909.3,4961.8,LLLG,5,5,1
-2.5,475.5,-471.9,3861.9,3946.6,3989.1,LLL,4,4,1
-3.3,471.9,-475.5,4146.4,4298.4,4174.0,LLL,4,4,1
-7.3,959.5,-9583.2,2961.9,2502.4,502.7,LLG,3,3,0
94.5,9455.5,-9541.9,505.5,504.9,503.0,NO,0,0,0
-1.5,955.8,-9498.3,3048.7,2444.2,468.7,LLG,3,3,0
-11.1,956.5,-9577.0,2859.5,2467.8,478.5,LLG,3,3,0
15.0,2859.1,-9522.0,1968.1,2110.0,532.3,LL,2,2,0
-3.2,2861.2,-9478.8,2045.3,1930.1,514.7,LL,2,2,0
-13.8,9474.1,-9496.9,504.7,498.5,454.5,NO,0,0,0
-6.9,9585.6,-9513.0,512.4,505.5,496.9,NO,0,0,0
31.9,2870.2,-9471.0,1931.4,1855.4,500.6,LL,2,2,0
-8.3,2858.9,-9481.0,1982.5,2107.0,519.2,LL,2,2,0
0.1,95.9,-95.5,5004.3,4828.2,5264.7,LLLG,5,5,1
54.6,9529.0,-9489.0,493.8,513.7,471.7,NO,0,0,0
-2.0,2862.9,-9523.9,1965.2,1934.6,490.2,LL,2,2,0
-0.0,94.9,-96.2,4898.6,5262.5,5021.9,LLLG,5,5,1
-4.2,480.3,-468.3,4140.4,4143.0,4021.5,LLL,4,4,1
1.9,474.7,-477.7,3956.8,3791.3,4007.7,LLL,4,4,1
-40.1,9529.8,-9618.7,477.1,503.9,516.9,NO,0,0,0
-2.5,475.4,-480.8,3975.7,4099.9,3651.7,LLL,4,4,1
3.7,2836.6,-9540.9,2001.9,2028.7,495.5,LL,2,2,0
-0.2,472.0,-472.6,4185.9,3704.8,3997.7,LLL,4,4,1
-2.0,9440.2,-9531.6,2523.2,467.4,460.7,LG,1,1,0
-0.2,94.7,-95.1,5140.2,5162.6,5091.0,LLLG,5,5,1
1.2,952.4,-9461.6,3098.0,2611.9,506.2,LLG,3,3,0
-0.1,479.2,-476.9,4074.7,3827.1,4029.4,LLL,4,4,1
3.1,478.2,-477.3,4268.6,3808.6,4004.5,LLL,4,4,1
-1.8,471.9,-476.4,3934.0,3937.4,3921.7,LLL,4,4,1
-59.7,9502.5,-9537.5,506.6,528.6,492.6,NO,0,0,0
30.7,9498.2,-9613.5,518.8,506.3,480.7,NO,0,0,0
4.9,9554.7,-9543.8,487.7,490.9,515.2,NO,0,0,0
-4.2,9531.4,-9471.4,2678.9,464.1,460.2,LG,1,1,0
-0.4,476.6,-475.9,3865.5,4028.7,3942.5,LLL,4,4,1
45.1,9549.2,-9571.5,536.9,508.2,473.7,NO,0,0,0
-0.1,95.6,-95.7,5025.6,5160.5,5033.3,LLLG,5,5,1
1.0,9582.7,-9595.2,2572.3,498.6,502.1,LG,1,1,0
-0.0,95.3,-95.1,5622.3,4916.8,5166.0,LLLG,5,5,1
-2.8,9514.0,-9442.8,2510.6,507.9,474.7,LG,1,1,0
1.5,475.2,-480.8,4077.5,3967.3,4324.7,LLL,4,4,1
-5.2,950.3,-9563.1,3154.6,2339.4,550.1,LLG,3,3,0
-3.6,478.3,-474.6,4106.2,3753.0,4154.5,LLL,4,4,1
6.5,949.7,-9495.6,2997.3,2565.1,500.4,LLG,3,3,0
-7.0,2867.2,-9485.8,1972.3,1989.6,506.3,LL,2,2,0
1.1,2838.6,-9555.2,1857.9,1995.7,512.9,LL,2,2,0
4.7,474.6,-479.5,3815.6,4028.6,4048.9,LLL,4,4,1
16.0,9577.6,-9501.8,513.2,513.0,506.7,NO,0,0,0
-6.3,9604.0,-9507.0,2414.0,542.8,530.9,LG,1,1,0
-1.8,955.0,-9389.6,3144.8,2512.2,513.0,LLG,3,3,0
2.5,476.8,-475.9,4177.5,4095.5,3912.6,LLL,4,4,1
-47.6,9448.3,-9532.7,504.8,493.6,507.9,NO,0,0,0
-38.1,9497.1,-9548.8,517.2,516.3,487.2,NO,0,0,0
0.6,948.1,-9475.6,2866.4,2501.4,488.0,LLG,3,3,0
0.2,945.7,-9558.9,3091.4,2441.0,481.8,LLG,3,3,0
0.8,95.7,-96.1,4961.0,4903.1,4938.8,LLLG,5,5,1
12.5,957.7,-9546.9,3091.0,2385.2,520.5,LLG,3,3,0
-165.4,9538.4,-9488.5,468.7,528.6,486.6,NO,0,0,0
12.4,2828.3,-9526.6,1943.5,1917.2,502.3,LL,2,2,0
-3.6,2850.7,-9496.6,2008.8,2005.6,512.0,LL,2,2,0
-12.0,2869.1,-9552.1,1919.5,1874.8,481.3,LL,2,2,0
-21.5,9572.5,-9441.2,497.3,499.9,545.9,NO,0,0,0
-1.0,469.9,-478.3,4115.1,3822.5,3767.7,LLL,4,4,1
-14.2,2867.9,-9552.0,1930.7,2020.6,537.0,LL,2,2,0
-11.9,9587.5,-9580.3,514.8,499.8,512.5,NO,0,0,0
-7.5,953.7,-9470.4,2716.0,2666.4,500.7,LLG,3,3,0
3.2,946.1,-9535.9,2903.6,2510.0,511.5,LLG,3,3,0
15.4,9554.6,-9431.2,511.5,499.0,515.1,NO,0,0,0
-74.3,9509.8,-9492.1,526.7,486.6,479.8,NO,0,0,0
6.9,9522.9,-9617.5,481.5,493.5,487.7,NO,0,0,0
-8.3,2864.8,-9630.8,1959.1,2043.9,521.8,LL,2,2,0
-5.7,956.0,-9454.0,2922.1,2500.5,485.3,LLG,3,3,0
