temperature,vacuum,pressure,humidity,power_output,brush_stress,high_stress
18.8,29.2,994.46,60.2,489.23,0.506,0
25.4,55.0,996.64,39.8,466.85,0.54,0
20.2,78.1,992.34,57.6,466.29,0.556,0
11.3,41.7,1009.8,75.3,493.32,0.477,0
12.6,57.6,1025.05,55.6,488.99,0.421,0
30.9,63.9,1009.37,62.2,454.51,0.714,1
12.9,37.8,1010.29,26.5,500.97,0.284,0
10.1,44.3,1005.83,38.5,511.77,0.28,0
13.9,77.0,997.41,94.7,475.44,0.618,1
21.7,41.9,998.36,34.4,481.27,0.45,0
8.7,39.0,1021.09,47.5,501.53,0.321,0
12.8,75.6,1020.53,92.9,485.33,0.58,0
27.9,75.9,1032.62,60.3,463.5,0.655,1
36.7,78.3,1002.57,37.4,449.13,0.689,1
18.7,41.5,998.51,55.1,482.27,0.498,0
18.8,63.9,1029.98,35.4,484.45,0.416,0
33.9,44.3,1001.14,83.6,449.97,0.841,1
36.7,72.5,1003.77,57.1,445.42,0.774,1
6.6,46.9,998.96,67.4,505.31,0.371,0
36.8,62.6,992.25,60.1,441.78,0.794,1
29.3,73.9,1004.25,77.9,454.28,0.76,1
24.5,26.5,1027.54,87.6,474.35,0.707,1
25.3,62.2,992.39,36.9,463.56,0.535,0
15.7,65.4,1020.92,45.2,487.69,0.415,0
33.4,43.4,999.46,90.1,443.73,0.873,1
36.5,66.1,1000.33,48.3,442.19,0.743,1
33.2,68.0,995.44,96.5,446.95,0.891,1
30.7,26.7,1002.36,48.2,463.02,0.638,1
25.4,58.8,999.04,40.8,477.0,0.524,0
19.0,65.4,1009.09,94.5,477.92,0.667,1
18.8,35.9,1020.4,30.1,492.05,0.38,0
16.0,78.6,1000.32,37.5,487.39,0.389,0
32.3,69.5,1007.8,55.6,451.59,0.709,1
23.1,60.9,1005.03,52.8,467.99,0.565,0
22.2,45.0,1023.37,54.6,474.21,0.55,0
19.9,30.3,1010.58,25.9,495.81,0.368,0
15.1,61.7,1015.65,83.1,487.42,0.561,0
26.2,30.4,994.3,62.9,475.28,0.624,1
10.4,62.0,1032.43,64.1,501.14,0.407,0
15.0,48.8,1025.6,37.4,501.46,0.349,0
24.1,28.3,1018.17,94.4,468.23,0.742,1
15.1,29.7,1020.3,35.2,496.69,0.351,0
26.4,69.0,995.81,44.3,465.92,0.571,0
26.6,33.8,1027.81,58.6,473.17,0.616,1
25.2,36.0,997.71,31.1,476.51,0.484,0
15.7,63.2,1030.74,66.5,489.77,0.496,0
18.8,28.6,999.02,63.2,488.14,0.52,0
22.1,77.1,1024.0,67.6,470.03,0.61,1
22.1,61.9,1000.01,87.9,472.11,0.686,1
16.0,43.8,1009.65,41.0,497.05,0.383,0
4.2,72.9,1017.62,93.4,503.48,0.452,0
24.3,67.4,1027.88,60.5,478.57,0.588,0
26.8,49.2,1007.22,57.1,465.88,0.626,1
8.4,41.3,999.54,88.7,500.43,0.485,0
30.0,43.0,1000.01,86.0,452.31,0.804,1
13.8,59.4,1029.53,62.4,491.92,0.455,0
25.5,35.3,1020.01,92.8,467.54,0.752,1
31.1,71.3,1003.8,48.6,451.76,0.667,1
19.7,39.0,1015.89,67.2,482.88,0.556,0
23.4,77.8,998.61,81.0,465.32,0.687,1
30.3,48.1,1031.07,68.9,452.39,0.739,1
23.6,81.2,1026.54,80.6,469.61,0.678,1
13.5,33.2,1012.3,89.0,493.59,0.554,0
2.1,68.5,1000.83,74.4,506.58,0.347,0
15.0,37.4,1005.81,34.5,499.33,0.341,0
12.8,55.4,1021.94,40.2,495.05,0.349,0
7.2,51.9,1031.89,38.3,509.71,0.251,0
35.9,78.5,996.78,55.4,441.65,0.767,1
23.4,66.4,1016.5,26.9,478.02,0.444,0
18.5,51.8,998.57,87.1,468.52,0.652,1
3.7,65.6,1026.55,92.9,492.84,0.466,0
30.0,66.3,994.46,73.0,447.8,0.76,1
20.1,41.7,1014.53,72.2,482.64,0.581,0
36.6,41.0,1011.5,57.3,447.57,0.77,1
18.5,69.2,994.53,69.0,475.07,0.566,0
7.3,50.1,1007.74,91.0,502.06,0.479,0
26.6,74.9,1001.87,33.3,461.59,0.537,0
20.8,34.3,1000.99,26.9,484.03,0.404,0
2.3,68.9,1007.96,42.0,516.72,0.199,0
3.5,35.5,1025.48,35.7,521.75,0.177,0
23.9,68.7,998.63,47.7,474.09,0.541,0
21.8,32.0,993.33,55.0,479.67,0.537,0
14.9,53.3,1009.17,85.0,492.66,0.556,0
3.4,39.5,1000.94,84.6,519.11,0.377,0
14.0,62.4,1014.73,70.0,483.32,0.505,0
10.5,70.3,1008.69,52.7,494.92,0.375,0
5.1,37.5,1023.34,50.0,517.51,0.26,0
28.5,44.7,1001.45,45.4,465.32,0.599,0
7.1,43.5,1002.49,73.0,500.59,0.408,0
13.1,58.8,1006.93,31.4,493.43,0.32,0
23.4,61.8,997.01,42.3,470.73,0.521,0
10.2,32.7,1022.93,84.4,504.31,0.479,0
2.6,27.0,1010.57,72.8,517.36,0.324,0
33.2,50.1,999.95,51.6,450.34,0.705,1
35.8,48.4,997.87,74.8,446.99,0.832,1
30.0,32.7,1031.42,89.6,457.48,0.808,1
4.3,53.8,1033.0,69.5,508.68,0.347,0
27.8,58.0,1017.87,61.4,461.3,0.663,1
8.9,42.6,1018.79,54.5,504.38,0.345,0
23.9,38.4,1012.81,72.7,470.79,0.647,1
20.1,56.1,1003.5,45.5,488.73,0.462,0
36.1,27.0,996.42,31.2,450.45,0.655,1
20.2,73.9,997.39,61.5,473.93,0.557,0
18.7,77.4,993.82,66.7,469.75,0.57,0
13.2,37.8,996.47,82.8,483.63,0.547,0
33.6,38.8,1029.94,85.1,447.72,0.848,1
16.7,76.8,1000.33,94.2,476.39,0.644,1
2.0,27.8,1002.96,26.7,523.24,0.122,0
13.0,74.4,992.35,96.0,482.31,0.6,1
26.2,73.1,996.16,78.5,458.91,0.72,1
24.6,54.1,1032.29,37.7,477.85,0.501,0
23.5,64.0,1017.43,32.3,468.51,0.486,0
6.7,70.0,1030.75,37.0,503.56,0.254,0
26.6,49.9,992.36,86.5,462.57,0.748,1
36.9,42.3,994.44,91.3,443.63,0.916,1
21.1,50.9,1023.18,66.5,484.25,0.565,0
8.3,49.4,997.7,31.1,506.44,0.241,0
33.0,49.7,999.0,43.0,456.03,0.657,1
25.5,58.6,1019.83,66.1,471.15,0.638,1
14.9,54.2,1001.59,94.3,488.87,0.6,1
6.1,38.2,995.14,43.7,513.38,0.254,0
21.7,63.9,1029.9,96.9,470.97,0.721,1
22.1,26.6,995.59,79.9,478.58,0.641,1
22.4,46.5,1006.99,80.6,479.01,0.646,1
12.4,34.9,1009.74,99.2,482.4,0.606,1
33.1,51.2,1025.36,80.3,447.42,0.824,1
22.9,45.4,1011.31,99.0,469.4,0.745,1
25.5,45.4,1009.35,69.4,468.51,0.656,1
27.0,60.4,1008.24,96.0,465.28,0.786,1
35.2,49.2,1023.2,78.2,450.62,0.832,1
33.7,30.8,1028.03,77.2,455.35,0.802,1
12.2,80.7,995.24,39.1,486.99,0.354,0
31.8,42.0,993.28,26.8,454.97,0.582,0
19.0,47.9,997.83,74.4,475.8,0.592,0
11.2,30.7,1001.03,57.0,500.22,0.388,0
14.4,35.5,992.96,51.4,495.97,0.409,0
3.9,62.2,1008.73,35.9,510.09,0.206,0
34.2,28.8,1008.16,41.8,465.04,0.647,1
20.9,58.3,1013.13,54.2,469.65,0.543,0
6.8,27.2,996.94,40.6,521.77,0.232,0
8.8,62.7,993.64,88.7,495.41,0.499,0
33.0,33.6,1007.58,81.4,455.59,0.812,1
13.5,75.3,1003.69,86.4,481.17,0.57,0
12.9,80.4,1010.62,40.1,489.33,0.362,0
32.7,51.3,1028.41,70.7,453.64,0.769,1
25.7,70.5,1003.49,46.1,469.09,0.564,0
36.6,57.4,998.44,31.1,451.4,0.657,1
19.7,62.7,998.37,27.3,483.77,0.395,0
3.6,38.6,1024.75,47.5,514.29,0.24,0
25.6,32.2,995.82,85.2,467.53,0.723,1
27.5,28.6,1009.71,73.7,464.62,0.703,1
23.6,49.8,1016.57,84.7,469.44,0.695,1
31.1,79.3,1014.8,100.0,442.41,0.891,1
29.0,29.6,1001.67,82.0,458.66,0.764,1
31.0,61.0,1012.29,65.1,457.23,0.722,1
28.9,47.9,1017.51,63.3,461.78,0.682,1
3.6,65.5,1014.14,95.9,503.39,0.455,0
28.1,34.9,1028.78,65.7,467.06,0.672,1
12.1,64.3,997.86,31.3,500.58,0.295,0
30.6,68.6,995.1,37.0,458.37,0.602,1
30.7,61.3,1006.25,61.2,453.25,0.711,1
23.3,70.4,1021.5,86.9,463.85,0.712,1
25.9,79.6,1009.78,91.3,451.06,0.783,1
33.2,42.5,1008.63,74.8,454.64,0.79,1
16.9,43.0,1025.93,77.7,484.24,0.566,0
23.5,30.5,1015.29,98.4,473.04,0.741,1
30.5,40.3,994.99,41.7,459.19,0.618,1
21.8,72.4,1004.0,35.2,467.82,0.481,0
33.0,74.7,996.52,43.4,448.19,0.674,1
5.6,50.5,1009.91,69.2,505.12,0.367,0
34.6,73.4,1000.7,50.9,446.42,0.725,1
15.6,27.3,1020.93,76.4,494.64,0.525,0
28.2,38.9,1013.68,42.8,473.01,0.569,0
33.9,81.2,1025.66,38.6,456.24,0.648,1
18.4,43.6,1013.93,87.0,478.85,0.629,1
8.3,66.8,1009.73,61.2,501.04,0.372,0
3.0,50.4,1007.22,63.3,513.98,0.297,0
33.2,67.7,1004.2,48.1,452.09,0.687,1
21.6,61.0,1032.82,69.0,470.82,0.607,1
36.0,54.0,1010.27,50.6,450.79,0.73,1
3.6,54.3,998.64,67.3,510.98,0.325,0
17.7,41.3,1017.31,49.6,490.6,0.449,0
2.6,43.6,1030.7,55.9,512.2,0.267,0
4.8,27.0,1028.87,26.3,521.86,0.153,0
23.4,34.2,1029.3,75.5,472.82,0.649,1
20.3,75.4,1024.18,62.5,471.59,0.566,0
28.3,53.0,1025.62,91.7,459.8,0.793,1
28.2,67.7,1005.34,43.3,468.07,0.581,0
33.5,32.0,1029.36,38.0,457.1,0.64,1
31.6,79.2,1006.36,33.8,450.32,0.616,1
3.6,65.5,1029.07,78.7,504.05,0.386,0
21.6,40.2,1007.35,51.7,477.72,0.525,0
10.7,71.5,1027.85,29.0,496.86,0.277,0
35.9,46.2,999.83,55.5,446.89,0.757,1
27.1,31.4,1010.31,32.7,479.62,0.504,0
29.5,45.4,1026.47,91.9,456.15,0.814,1
27.7,77.8,1014.44,90.6,455.64,0.79,1
15.5,65.3,1010.01,46.2,487.51,0.417,0
22.1,73.5,1010.89,94.4,468.88,0.718,1
24.7,65.6,994.33,26.7,482.57,0.448,0
29.1,30.4,1029.51,98.1,461.29,0.824,1
2.6,64.8,1005.99,87.6,512.51,0.394,0
34.9,32.3,996.89,54.6,451.45,0.733,1
11.7,38.7,994.93,60.8,495.12,0.419,0
14.8,31.1,995.06,77.2,497.49,0.514,0
2.0,75.4,993.57,42.0,506.81,0.217,0
29.6,48.6,1011.55,31.7,464.99,0.557,0
33.5,60.9,1020.08,57.6,451.01,0.731,1
33.3,45.5,999.2,43.9,461.16,0.653,1
34.1,56.9,1013.17,78.3,443.96,0.834,1
13.2,57.8,1011.17,78.9,491.13,0.516,0
22.9,80.1,1028.54,92.7,470.5,0.718,1
21.9,35.2,1023.28,27.2,482.5,0.421,0
22.7,78.6,1021.4,87.5,464.22,0.707,1
9.6,69.4,1020.27,70.2,493.34,0.437,0
11.3,48.9,1027.7,48.0,500.02,0.354,0
32.4,76.8,1016.18,71.1,444.35,0.786,1
14.7,32.7,999.9,55.7,495.05,0.432,0
4.5,67.3,1020.22,53.9,513.69,0.277,0
30.2,36.6,1012.09,47.0,460.22,0.635,1
30.4,30.8,1016.54,57.1,460.39,0.676,1
25.9,41.4,1000.81,85.2,470.28,0.72,1
7.0,58.7,1007.38,91.9,495.39,0.493,0
15.4,60.5,1014.22,69.6,488.79,0.507,0
17.9,60.7,1021.49,73.5,478.77,0.57,0
28.4,67.9,1010.24,71.2,455.26,0.721,1
31.4,26.2,994.47,82.3,447.99,0.813,1
32.6,38.2,1032.04,50.2,458.8,0.676,1
35.7,72.1,1013.65,35.7,445.34,0.678,1
24.5,53.6,1031.17,51.7,466.12,0.58,0
30.5,64.2,1019.7,60.8,449.97,0.713,1
24.1,54.4,1017.62,93.8,458.01,0.76,1
9.4,59.5,1029.17,72.5,493.75,0.445,0
25.7,50.6,999.86,63.5,463.74,0.644,1
37.0,46.0,1024.75,92.2,447.68,0.913,1
6.1,53.9,994.6,82.4,501.62,0.432,0
20.3,48.8,1015.67,35.8,475.56,0.452,0
36.7,48.1,1024.01,58.4,446.39,0.778,1
6.5,77.8,999.35,75.0,501.42,0.408,0
36.4,54.0,1006.71,46.2,452.96,0.713,1
12.4,57.4,1007.3,50.8,500.66,0.377,0
26.4,81.6,1029.99,58.6,454.31,0.651,1
34.0,73.3,1010.41,39.4,445.08,0.675,1
35.7,25.9,1032.53,37.6,462.29,0.652,1
12.9,31.6,999.75,32.0,500.62,0.306,0
22.9,62.9,1001.32,86.7,463.59,0.707,1
35.9,65.2,1031.3,55.8,445.24,0.761,1
34.0,30.9,1011.06,44.9,459.22,0.669,1
20.3,34.9,1024.81,49.8,485.41,0.488,0
21.9,60.2,1000.73,66.0,474.59,0.591,0
19.8,70.5,1005.61,82.4,465.47,0.653,1
12.1,25.8,1017.23,31.0,500.82,0.293,0
6.4,74.2,1012.72,43.9,505.46,0.274,0
15.1,78.1,1032.34,93.4,483.57,0.61,1
8.8,47.9,998.29,54.7,497.64,0.359,0
13.1,65.4,992.0,55.3,496.08,0.411,0
9.3,35.0,994.72,52.9,504.21,0.344,0
5.4,46.4,1020.16,94.8,504.67,0.468,0
33.7,60.0,1028.7,70.8,461.55,0.764,1
30.2,52.5,995.91,97.2,455.82,0.844,1
4.9,73.2,1012.07,67.4,503.36,0.356,0
20.0,37.9,998.36,69.6,472.27,0.59,0
36.9,55.2,999.91,49.1,448.7,0.738,1
17.9,44.2,996.33,49.4,490.67,0.449,0
36.8,46.7,1020.5,41.2,450.99,0.701,1
12.3,51.2,992.59,35.7,497.57,0.321,0
6.5,79.1,1016.7,59.1,506.23,0.334,0
31.1,62.5,1001.1,51.7,457.57,0.668,1
24.8,34.9,1015.01,31.7,482.64,0.469,0
17.1,56.9,1007.66,59.1,486.57,0.488,0
26.6,43.9,1006.03,67.0,472.89,0.649,1
36.3,42.7,1016.21,68.3,451.0,0.804,1
20.9,49.4,1024.18,82.0,482.7,0.629,1
12.5,56.2,1020.7,33.6,494.72,0.32,0
25.4,46.9,1016.94,62.6,475.16,0.614,1
27.7,32.6,1002.52,62.6,468.88,0.652,1
28.7,46.1,1014.34,61.3,458.74,0.678,1
34.8,78.6,1030.86,32.1,458.52,0.628,1
23.7,63.6,1001.78,98.2,459.63,0.77,1
15.1,60.8,1004.27,66.9,489.84,0.491,0
8.4,69.8,1005.08,80.4,495.34,0.462,0
26.7,54.0,1010.65,88.5,461.24,0.76,1
35.6,64.2,1014.24,63.0,446.36,0.784,1
29.7,69.2,1014.73,92.9,455.7,0.821,1
37.0,66.9,1010.52,37.7,453.21,0.684,1
29.6,46.2,1012.29,60.3,457.42,0.686,1
14.6,30.7,998.08,94.9,486.46,0.604,1
16.0,52.3,1031.86,53.2,486.81,0.452,0
14.3,49.7,1012.68,36.7,499.67,0.343,0
35.4,71.9,1030.79,97.3,443.09,0.925,1
34.1,58.9,1017.03,89.0,445.62,0.874,1
14.9,67.5,1012.55,65.6,488.65,0.487,0
30.1,28.6,1028.83,96.9,458.04,0.837,1
14.2,45.0,998.15,40.3,499.72,0.355,0
15.7,57.0,1000.13,43.2,486.32,0.41,0
12.6,78.4,1032.43,31.0,499.69,0.3,0
21.2,53.5,1027.87,69.0,475.99,0.594,0
37.0,29.7,1022.42,47.5,459.63,0.71,1
13.8,75.9,1031.29,55.4,484.76,0.441,0
19.9,40.1,994.31,29.3,489.29,0.393,0
8.8,53.2,997.37,86.0,493.54,0.492,0
2.7,59.6,1005.62,79.8,509.09,0.37,0
8.9,49.6,1007.87,64.2,497.71,0.397,0
5.7,75.5,1008.99,93.5,498.53,0.478,0
25.9,61.4,1014.22,39.2,472.22,0.532,0
11.6,50.4,1011.7,92.0,493.56,0.546,0
6.0,37.3,1008.4,98.0,500.14,0.497,0
28.3,46.2,1012.38,72.3,460.7,0.713,1
24.4,26.8,1020.21,75.9,478.05,0.651,1
19.2,42.5,1017.83,28.3,489.25,0.382,0
33.2,26.8,996.35,44.8,459.64,0.658,1
10.7,40.7,1005.76,95.3,489.91,0.557,0
23.7,56.8,1024.64,98.2,465.59,0.758,1
17.9,64.8,1027.01,38.2,495.2,0.396,0
5.7,28.9,992.09,33.7,514.73,0.207,0
33.7,37.0,1027.47,98.4,446.13,0.906,1
1.9,65.5,1005.75,67.3,508.73,0.312,0
34.9,33.6,1028.08,75.2,463.04,0.792,1
22.8,41.7,1029.29,59.7,476.51,0.572,0
3.0,65.8,1013.93,81.5,506.47,0.385,0
28.5,75.4,1004.86,60.0,458.53,0.671,1
35.0,77.7,1018.26,68.3,440.52,0.811,1
29.2,68.8,996.34,53.4,458.15,0.653,1
33.0,43.4,1022.09,62.6,455.93,0.735,1
14.5,67.6,1019.0,78.9,481.13,0.55,0
5.1,34.0,999.57,86.2,507.21,0.425,0
14.0,72.3,1016.16,45.8,499.31,0.375,0
28.5,75.4,997.45,69.7,450.33,0.726,1
19.0,55.0,1010.43,89.0,475.53,0.65,1
8.4,38.9,1032.2,63.6,505.51,0.374,0
19.1,52.3,1026.42,64.9,484.67,0.537,0
25.5,72.3,1021.06,32.0,466.0,0.511,0
8.0,32.4,1018.9,86.4,509.24,0.454,0
13.7,66.0,998.78,81.4,488.83,0.536,0
13.1,45.3,1023.96,36.7,504.12,0.32,0
2.0,45.7,1023.76,78.8,502.43,0.372,0
9.1,59.4,993.25,97.8,488.09,0.553,0
28.5,43.2,1012.14,36.7,463.55,0.568,0
32.9,34.1,1015.87,89.6,451.89,0.85,1
23.4,67.3,1022.42,45.5,473.61,0.527,0
3.3,75.5,1025.12,77.6,506.77,0.372,0
4.6,43.8,997.78,45.4,510.5,0.25,0
3.8,73.6,995.14,73.9,507.71,0.362,0
32.2,41.2,998.78,48.6,453.13,0.677,1
22.7,76.9,1005.39,81.2,462.4,0.685,1
27.7,55.8,1020.9,50.0,460.84,0.617,1
32.4,28.0,1022.44,69.7,458.55,0.752,1
18.9,42.0,1027.9,73.6,481.14,0.576,0
8.1,41.8,992.62,61.0,508.58,0.354,0
21.1,31.3,1027.75,47.5,485.56,0.487,0
4.4,58.4,1022.68,70.2,513.81,0.341,0
17.5,76.7,1011.08,86.3,474.41,0.626,1
35.6,54.2,1022.46,47.4,455.89,0.703,1
8.3,75.4,1019.41,69.1,495.54,0.415,0
6.4,79.5,1030.62,60.2,497.87,0.355,0
25.4,40.8,1014.15,93.0,462.97,0.76,1
15.3,70.1,992.37,63.4,485.26,0.488,0
15.2,40.0,1012.95,38.9,495.73,0.368,0
33.1,50.8,993.41,82.5,452.92,0.822,1
35.7,49.5,993.69,89.5,444.77,0.894,1
24.9,41.4,1027.16,29.0,481.6,0.462,0
8.5,29.0,1027.27,39.5,509.92,0.27,0
3.2,31.0,1009.96,56.2,521.42,0.256,0
10.5,42.7,1004.88,79.0,496.71,0.476,0
23.4,48.3,1026.4,100.0,471.9,0.749,1
36.9,52.1,1002.97,66.3,443.47,0.818,1
25.4,56.6,1024.02,92.1,474.26,0.734,1
14.1,55.8,1015.16,63.2,491.55,0.462,0
21.2,34.1,1016.45,92.8,481.65,0.677,1
11.0,53.2,1005.26,64.5,499.15,0.418,0
14.9,80.2,998.49,89.2,473.65,0.611,1
14.0,26.2,1019.65,85.8,488.56,0.558,0
30.0,65.0,996.65,53.1,452.66,0.672,1
3.7,30.0,1011.27,57.9,518.89,0.273,0
27.7,62.3,1029.8,93.4,452.95,0.807,1
32.7,39.0,1012.14,72.1,461.0,0.76,1
34.5,80.1,1000.48,80.4,443.22,0.848,1
11.5,35.8,1015.8,34.6,505.48,0.292,0
30.6,55.3,1020.13,90.5,451.18,0.83,1
31.2,44.1,1030.6,26.3,467.35,0.548,0
30.7,59.8,1030.77,50.2,460.83,0.651,1
15.9,39.8,1010.06,35.4,497.66,0.358,0
36.4,61.4,1027.13,29.7,453.97,0.644,1
34.1,34.2,1019.18,35.9,463.03,0.626,1
26.4,35.5,1009.37,82.2,464.04,0.727,1
8.5,25.8,1011.78,65.5,507.81,0.379,0
35.9,75.3,1013.64,84.3,439.33,0.886,1
35.6,33.8,1023.3,68.8,445.87,0.808,1
22.9,53.6,1021.29,87.6,468.9,0.7,1
18.7,71.3,1012.4,48.4,481.39,0.474,0
20.2,27.6,1001.06,91.4,477.89,0.668,1
34.0,35.6,1011.82,68.4,455.31,0.77,1
23.6,56.3,1018.48,29.4,472.74,0.467,0
25.7,78.5,992.45,56.4,459.46,0.625,1
20.4,38.5,1006.68,64.8,479.08,0.561,0
3.1,41.2,1009.88,75.6,512.05,0.351,0
7.1,67.1,1011.36,80.8,496.49,0.447,0
27.5,33.7,1019.89,84.8,467.15,0.743,1
9.4,81.1,1023.8,60.6,493.75,0.397,0
29.9,62.3,1006.12,95.1,447.66,0.848,1
18.1,62.6,1014.05,57.6,491.03,0.483,0
23.2,49.2,1021.69,94.1,465.28,0.737,1
3.1,44.3,1021.61,95.4,518.68,0.418,0
20.7,63.9,1005.9,54.8,468.17,0.547,0
20.5,73.1,1026.53,87.4,477.27,0.657,1
36.9,70.2,1005.1,97.0,439.55,0.948,1
9.3,80.5,996.5,92.0,488.3,0.532,0
8.2,66.0,999.81,66.7,499.05,0.397,0
7.1,70.1,1026.47,69.3,492.16,0.41,0
27.8,57.0,1001.79,69.6,458.06,0.703,1
18.7,45.8,1019.38,81.4,483.18,0.602,1
17.4,76.2,1001.44,73.8,479.29,0.565,0
36.0,51.4,1026.12,38.6,452.88,0.678,1
8.4,26.2,1016.32,38.4,510.93,0.262,0
25.7,42.4,1032.96,71.1,469.64,0.663,1
13.2,58.8,1007.79,55.1,493.53,0.416,0
32.2,67.0,1001.52,40.7,452.23,0.647,1
18.7,32.7,994.33,67.5,486.72,0.539,0
34.5,49.5,1003.55,87.9,443.79,0.877,1
11.9,65.5,1027.99,83.6,489.44,0.524,0
2.2,37.7,1029.19,29.9,522.38,0.139,0
32.9,58.6,1025.35,68.2,448.84,0.771,1
12.8,41.9,1013.27,69.3,498.02,0.459,0
23.5,55.2,996.95,55.2,472.23,0.57,0
